"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"12:00:00 30-Sep-2024",85012.92,84524.96,84686.03,,2644.20,2629.02,2634.03,
"08:00:00 30-Sep-2024",85413.92,84706.21,84934.48,,2656.67,2634.66,2641.76,
"04:00:00 30-Sep-2024",85541.08,85224.31,85229.78,,2660.63,2650.77,2650.94,
"00:00:00 30-Sep-2024",85710.92,85133.97,85321.81,,2665.91,2647.96,2653.80,
"20:00:00 29-Sep-2024",85684.55,85431.77,85640.67,,2665.09,2657.23,2663.72,
"16:00:00 29-Sep-2024",85490.28,85490.28,85490.28,,2659.04,2659.04,2659.04,
"12:00:00 29-Sep-2024",85490.28,85490.28,85490.28,,2659.04,2659.04,2659.04,
"08:00:00 29-Sep-2024",85490.28,85490.28,85490.28,,2659.04,2659.04,2659.04,
"04:00:00 29-Sep-2024",85490.28,85490.28,85490.28,,2659.04,2659.04,2659.04,
"00:00:00 29-Sep-2024",85490.28,85490.28,85490.28,,2659.04,2659.04,2659.04,
"20:00:00 28-Sep-2024",85490.28,85490.28,85490.28,,2659.04,2659.04,2659.04,
"16:00:00 28-Sep-2024",85490.28,85490.28,85490.28,,2659.04,2659.04,2659.04,
"12:00:00 28-Sep-2024",85490.28,85490.28,85490.28,,2659.04,2659.04,2659.04,
"08:00:00 28-Sep-2024",85490.28,85490.28,85490.28,,2659.04,2659.04,2659.04,
"04:00:00 28-Sep-2024",85490.28,85490.28,85490.28,,2659.04,2659.04,2659.04,
"00:00:00 28-Sep-2024",85490.28,85490.28,85490.28,,2659.04,2659.04,2659.04,
"20:00:00 27-Sep-2024",85520.66,85240.79,85490.28,,2659.99,2651.28,2659.04,
"16:00:00 27-Sep-2024",85401.79,84988.33,85264.66,,2656.29,2643.43,2652.03,
"12:00:00 27-Sep-2024",85975.36,85042.74,85191.92,,2674.13,2645.12,2649.76,
"08:00:00 27-Sep-2024",85817.17,85475.33,85717.51,,2669.21,2658.58,2666.11,
"04:00:00 27-Sep-2024",85971.02,85557.88,85678.44,,2674.00,2661.15,2664.90,
"00:00:00 27-Sep-2024",85970.53,85731.98,85962.50,,2673.98,2666.56,2673.73,
"20:00:00 26-Sep-2024",85972.54,85878.26,85931.31,,2674.04,2671.11,2672.76,
"16:00:00 26-Sep-2024",86093.83,85621.14,85966.27,,2677.82,2663.12,2673.85,
"12:00:00 26-Sep-2024",86299.03,85367.79,85891.52,,2684.20,2655.24,2671.52,
"08:00:00 26-Sep-2024",86336.25,85673.06,86252.09,,2685.36,2664.73,2682.74,
"04:00:00 26-Sep-2024",85741.30,85469.79,85686.56,,2666.85,2658.41,2665.15,
"00:00:00 26-Sep-2024",85602.57,85381.61,85602.01,,2662.54,2655.66,2662.52,
"20:00:00 25-Sep-2024",85529.02,85404.28,85423.17,,2660.25,2656.37,2656.96,
"16:00:00 25-Sep-2024",85616.07,85213.50,85512.55,,2662.96,2650.44,2659.74,
"12:00:00 25-Sep-2024",85758.42,85351.79,85455.72,,2667.39,2654.74,2657.97,
"08:00:00 25-Sep-2024",85474.29,85306.14,85438.36,,2658.55,2653.32,2657.43,
"04:00:00 25-Sep-2024",85576.61,85274.15,85418.18,,2661.73,2652.32,2656.80,
"00:00:00 25-Sep-2024",85847.24,85385.79,85571.30,,2670.15,2655.79,2661.56,
"20:00:00 24-Sep-2024",85639.14,85409.02,85462.87,,2663.68,2656.52,2658.19,
"16:00:00 24-Sep-2024",85659.31,84964.38,85607.71,,2664.30,2642.69,2662.70,
"12:00:00 24-Sep-2024",85140.24,84353.59,84985.19,,2648.16,2623.69,2643.33,
"08:00:00 24-Sep-2024",84745.43,84356.97,84444.34,,2635.88,2623.80,2626.51,
"04:00:00 24-Sep-2024",84874.03,84332.21,84527.05,,2639.88,2623.02,2629.09,
"00:00:00 24-Sep-2024",84753.47,84365.81,84688.36,,2636.13,2624.07,2634.10,
"20:00:00 23-Sep-2024",84521.10,84425.05,84439.03,,2628.90,2625.91,2626.35,
"16:00:00 23-Sep-2024",84582.75,84423.52,84440.72,,2630.82,2625.87,2626.40,
"12:00:00 23-Sep-2024",84711.59,84239.70,84532.35,,2634.82,2620.15,2629.25,
"08:00:00 23-Sep-2024",84420.79,84067.37,84365.09,,2625.78,2614.79,2624.05,
"04:00:00 23-Sep-2024",84601.39,84045.91,84084.97,,2631.40,2614.12,2615.33,
"00:00:00 23-Sep-2024",84591.91,84112.06,84512.42,,2631.10,2616.18,2628.63,
"20:00:00 22-Sep-2024",84306.33,84187.45,84246.29,,2622.22,2618.52,2620.35,
"16:00:00 22-Sep-2024",84306.33,84306.33,84306.33,,2622.22,2622.22,2622.22,
"12:00:00 22-Sep-2024",84306.33,84306.33,84306.33,,2622.22,2622.22,2622.22,
"08:00:00 22-Sep-2024",84306.33,84306.33,84306.33,,2622.22,2622.22,2622.22,
"04:00:00 22-Sep-2024",84306.33,84306.33,84306.33,,2622.22,2622.22,2622.22,
"00:00:00 22-Sep-2024",84306.33,84306.33,84306.33,,2622.22,2622.22,2622.22,
"20:00:00 21-Sep-2024",84306.33,84306.33,84306.33,,2622.22,2622.22,2622.22,
"16:00:00 21-Sep-2024",84306.33,84306.33,84306.33,,2622.22,2622.22,2622.22,
"12:00:00 21-Sep-2024",84306.33,84306.33,84306.33,,2622.22,2622.22,2622.22,
"08:00:00 21-Sep-2024",84306.33,84306.33,84306.33,,2622.22,2622.22,2622.22,
